Item,ctx_n_words,exp_ver,adj_cond,noun_cond,adj,noun,lemma_adj,lemma_noun,constr_preadj,constr_postadj,gpt_logp_adj,freq_adj,pld20_adj,concr_adj,freq_noun,pld20_noun,concr_noun,p_preadj,p_postadj,DKL
55,10,4,top,top,compact,car,compact,car,0.672413793103448,0.888888888888889,-10.77971,86,2.3,3.04,24636,1,4.89,0.672413793103448,0.888888888888889,0.146681726533803
58,13,1,low,low,outdoor,shed,outdoor,shed,0.32,0.326530612244898,-7.90316,93,2.7,3.93,560,1,4.55,0,0.326530612244898,1.25965351043308
58,13,2,low,top,outdoor,basement,outdoor,basement,0.32,0.326530612244898,-7.90316,93,2.7,3.93,1074,2.45,4.89,0.32,0,1.25965351043308
58,13,3,top,low,damp,shed,damp,shed,0.32,0.638297872340426,-9.56146,149,1.3,3.81,560,1,4.55,0,0,0.457479200468103
58,13,4,top,top,damp,basement,damp,basement,0.32,0.638297872340426,-9.56146,149,1.3,3.81,1074,2.45,4.89,0.32,0.638297872340426,0.457479200468103
59,7,1,top,low,dead,ground,dead,ground,0.62,1,-7.244309,22898,1.25,4.07,3696,1.8,4.77,0.16,0,0.254229647086069
59,7,2,top,top,dead,tree,dead,tree,0.62,1,-7.244309,22898,1.25,4.07,3315,1.2,5,0.62,1,0.254229647086069
59,7,3,low,low,cold,ground,cold,ground,0.62,0.452830188679245,-8.539758,6638,1,3.85,3696,1.8,4.77,0.16,0.452830188679245,0.70214403166716
59,7,4,low,top,cold,tree,cold,tree,0.62,0.452830188679245,-8.539758,6638,1,3.85,3315,1.2,5,0.62,0.0754716981132076,0.70214403166716
61,6,1,top,low,topmost,lamp,topmost,lamp,0.411764705882353,0.897435897435897,-8.95616,3,2.95,2.92,657,1.15,4.97,0.0392156862745098,0,0.30535186924905
61,6,2,top,top,topmost,shelf,topmost,shelf,0.411764705882353,0.897435897435897,-8.95616,3,2.95,2.92,355,1.85,4.96,0.411764705882353,0.897435897435897,0.30535186924905
61,6,3,low,low,halogen,lamp,halogen,lamp,0.411764705882353,0.442622950819672,-10.92476,2,3,4.07,657,1.15,4.97,0.0392156862745098,0.442622950819672,1.4715266054683
61,6,4,low,top,halogen,shelf,halogen,shelf,0.411764705882353,0.442622950819672,-10.92476,2,3,4.07,355,1.85,4.96,0.411764705882353,0,1.4715266054683
62,8,1,top,top,intense,heat,intense,heat,0.196078431372549,0.372093023255814,-6.67884,520,2.25,2.41,2044,1,3.79,0.196078431372549,0.372093023255814,0.259527332532761
62,8,2,low,low,tropical,storm,tropical,storm,0.196078431372549,0.763636363636364,-10.98752,163,2.65,3.25,1574,1.75,4.7,0.0980392156862745,0.763636363636364,0.913048581572893
